authors	book_id	cover	subject	theme	name	kes1	kes2	kes3
Л. С. Атанасян, В. Ф. Бутузов, С. Б. Кадомцев, Э. Г. Позняк, И. И. Юдина	22566	/system/attachments/files/000/051/899/preview/title.png	{'id': 47, 'name': 'Геометрия'}		Геометрия	47	22	201
Л. С. Атанасян	23040	/system/attachments/files/000/053/185/preview/title.png	{'id': 47, 'name': 'Геометрия'}		Геометрия	47	22	202
Потоскуев Е.В., Звавич Л.И.	25179	/system_2/attachments/files/000/071/155/preview/b009780.jpg	{'id': 47, 'name': 'Геометрия'}		Математика: алгебра и начала математического анализа. Геометрия. 10 класс. Углубленный уровень.	47	22	203
